Time,Input to PWM Input,Clock clk,Input to Mod 4 Counter,NS of Mod 4 Counter,output of Mod 4 Counter,PS of Mod 4 Counter,Sync Reset Comparator output,Output Comparator output,Final Output from PWM Output
0,0,0,1,0,0,0,1,0,0
0.01,0,0,1,0,0,0,1,0,0
0.02,0,0,1,0,0,0,1,0,0
0.03,0,0,1,0,0,0,1,0,0
0.04,0,0,1,0,0,0,1,0,0
0.05,9,0,0,0,0,0,0,1,0
0.060000000000000005,9,0,0,1,0,0,0,1,1
0.07,9,0,0,1,0,0,0,1,1
0.08,9,0,0,1,0,0,0,1,1
0.09,9,0,0,1,0,0,0,1,1
0.09999999999999999,9,0,0,1,0,0,0,1,1
0.10999999999999999,9,0,0,1,0,0,0,1,1
0.11999999999999998,9,0,0,1,0,0,0,1,1
0.12999999999999998,9,0,0,1,0,0,0,1,1
0.13999999999999999,9,0,0,1,0,0,0,1,1
0.15,9,0,0,1,0,0,0,1,1
0.16,9,0,0,1,0,0,0,1,1
0.17,9,0,0,1,0,0,0,1,1
0.18000000000000002,9,0,0,1,0,0,0,1,1
0.19000000000000003,9,0,0,1,0,0,0,1,1
0.20000000000000004,9,0,0,1,0,0,0,1,1
0.21000000000000005,9,0,0,1,0,0,0,1,1
0.22000000000000006,9,0,0,1,0,0,0,1,1
0.23000000000000007,9,0,0,1,0,0,0,1,1
0.24000000000000007,9,0,0,1,0,0,0,1,1
0.25000000000000006,9,0,0,1,0,0,0,1,1
0.26000000000000006,9,0,0,1,0,0,0,1,1
0.2700000000000001,9,0,0,1,0,0,0,1,1
0.2800000000000001,9,0,0,1,0,0,0,1,1
0.2900000000000001,9,0,0,1,0,0,0,1,1
0.3000000000000001,9,0,0,1,0,0,0,1,1
0.3100000000000001,9,0,0,1,0,0,0,1,1
0.3200000000000001,9,0,0,1,0,0,0,1,1
0.3300000000000001,9,0,0,1,0,0,0,1,1
0.34000000000000014,9,0,0,1,0,0,0,1,1
0.35000000000000014,9,0,0,1,0,0,0,1,1
0.36000000000000015,9,0,0,1,0,0,0,1,1
0.37000000000000016,9,0,0,1,0,0,0,1,1
0.38000000000000017,9,0,0,1,0,0,0,1,1
0.3900000000000002,9,0,0,1,0,0,0,1,1
0.4000000000000002,9,0,0,1,0,0,0,1,1
0.4100000000000002,9,0,0,1,0,0,0,1,1
0.4200000000000002,9,0,0,1,0,0,0,1,1
0.4300000000000002,9,0,0,1,0,0,0,1,1
0.4400000000000002,9,0,0,1,0,0,0,1,1
0.45000000000000023,9,0,0,1,0,0,0,1,1
0.46000000000000024,9,0,0,1,0,0,0,1,1
0.47000000000000025,9,0,0,1,0,0,0,1,1
0.48000000000000026,9,0,0,1,0,0,0,1,1
0.49000000000000027,9,0,0,1,0,0,0,1,1
0.5,9,1,0,1,0,0,0,1,1
0.5000000000000002,9,1,0,1,0,0,0,1,1
0.51,9,1,0,1,0,1,0,1,1
0.5100000000000002,9,1,0,1,0,1,0,1,1
0.52,9,1,0,2,1,1,0,0,1
0.5200000000000002,9,1,0,2,1,1,0,0,0
0.53,9,1,0,2,1,1,0,0,0
